canSampleCoverage,canGenerateHighQualityEvaluationTest,Intersection (defects for RQ3)
Chart1,Chart1,Chart1
Chart13,Chart12,Chart3
Chart18,Chart13,Chart5
Chart20,Chart18,Chart7
Chart21,Chart20,Chart13
Chart3,Chart21,Chart18
Chart5,Chart22,Chart20
Chart7,Chart25,Chart21
Closure102,Chart26,Closure14
Closure11,Chart3,Closure39
Closure125,Chart5,Closure73
Closure14,Chart7,Closure86
Closure19,Closure102,Closure102
Closure25,Closure13,Lang7
Closure31,Closure14,Lang10
Closure35,Closure21,Lang24
Closure38,Closure22,Lang33
Closure39,Closure26,Lang39
Closure45,Closure39,Lang41
Closure46,Closure73,Lang44
Closure62,Closure86,Lang45
Closure63,Lang10,Lang51
Closure66,Lang24,Lang58
Closure73,Lang33,Lang59
Closure86,Lang39,Lang60
Lang10,Lang41,Math1
Lang22,Lang44,Math2
Lang24,Lang45,Math5
Lang33,Lang50,Math29
Lang39,Lang51,Math41
Lang41,Lang58,Math49
Lang44,Lang59,Math53
Lang45,Lang60,Math59
Lang51,Lang63,Math63
Lang58,Lang7,Math72
Lang59,Math1,Math73
Lang60,Math18,Math75
Lang7,Math2,Math79
Math1,Math20,Math80
Math2,Math24,Math85
Math29,Math28,Math98
Math40,Math29,Time3
Math41,Math33,Time7
Math49,Math35,Time13
Math5,Math41,Time19
Math50,Math49,
Math53,Math5,
Math59,Math53,
Math63,Math57,
Math72,Math59,
Math73,Math62,
Math75,Math63,
Math79,Math7,
Math80,Math70,
Math81,Math72,
Math85,Math73,
Math98,Math74,
Time13,Math75,
Time19,Math79,
Time3,Math8,
Time7,Math80,
,Math82,
,Math84,
,Math85,
,Math88,
,Math95,
,Math98,
,Time13,
,Time19,
,Time3,
,Time7,
